Time (s),X (m),Y (m),heading
1750496188.2178197,-16.510811568344252,-0.15861075274178132,-2.945035001159398
1750496188.3510575,-16.572500746697752,-0.17098084095296315,-2.943561694823006
1750496188.4851866,-16.63433299522628,-0.18349788988516644,-2.9415788916847845
1750496188.6177444,-16.695399493857664,-0.19573307052221509,-2.942613480006193
1750496188.685114,-16.7264847870992,-0.2019549317385349,-2.9433451186123176
1750496188.8177304,-16.787791831290665,-0.2141794047226291,-2.9450334382860586
1750496188.985147,-16.865428807352416,-0.22975094898778137,-2.9449542839679554
1750496189.0850804,-16.912232572585722,-0.23906420700022843,-2.9454519995887534
1750496189.217712,-16.974625073150985,-0.2514878458085908,-2.94559978744238
1750496189.3510087,-17.03729040359851,-0.26390935663112103,-2.946096134046384
1750496189.4851007,-17.10006936334801,-0.27636082585301763,-2.94619204305997
1750496189.6176574,-17.161893125754204,-0.28858367948779096,-2.946554263412816
1750496189.6850321,-17.193295348302534,-0.29475239220632105,-2.9471386725304356
1750496189.81767,-17.25505938361074,-0.3068276754186181,-2.948696949001861
1750496189.9849563,-17.333024628401397,-0.32212513031307594,-2.9489877974432694
1750496190.084955,-17.37978281804292,-0.3313432417632711,-2.948167194545258
1750496190.2176082,-17.44181433128712,-0.3434020740508106,-2.948982962857267
1750496190.3509827,-17.504001025738063,-0.3554711263728547,-2.950009057710344
1750496190.4849217,-17.56624691017346,-0.3674465969999134,-2.9516849888662717
1750496190.6176257,-17.62788261092177,-0.37939252755475683,-2.95130573644743
1750496190.7348456,-17.682399258408555,-0.38973810250729657,-2.953287051008824
1750496190.8176467,-17.721017964533132,-0.39709237554943355,-2.9541162008022175
1750496190.984873,-17.799085716938286,-0.4119317747205292,-2.954934712477368
1750496191.084882,-17.845866807933668,-0.4208869234643349,-2.95407731121876
1750496191.2175686,-17.907821256458323,-0.4326413454658428,-2.953902025352006
1750496191.350938,-17.96994922115968,-0.4443780074161011,-2.954507517503482
1750496191.4848456,-18.03227686151476,-0.45618148593589564,-2.954612631743105
1750496191.6175566,-18.094123412156485,-0.46809191578429366,-2.9521741151066214
1750496191.6842332,-18.125299360460208,-0.47390362440352013,-2.953615354679489
1750496191.8175693,-18.18767080334241,-0.485785014644181,-2.9534260919869673
1750496191.950835,-18.250012317672585,-0.4976203697574486,-2.9537716876179902
1750496192.0841992,-18.312309367072757,-0.5094685290013138,-2.9538641013745432
1750496192.217513,-18.3744770714866,-0.5213988997894401,-2.952517133901396
1750496192.3508458,-18.436512835519473,-0.5331337362134266,-2.9534931387321945
1750496192.484199,-18.498610060393066,-0.5448945807396893,-2.9543733246510664
1750496192.6175025,-18.56084098649571,-0.5566043190032223,-2.9557975134796415
1750496192.7346473,-18.615620552953864,-0.5669085933888761,-2.9564688507292636
1750496192.8347719,-18.662545500586237,-0.5756893805288473,-2.956999218428154
1750496192.950863,-18.71701086197784,-0.5858742613919407,-2.9573005943026343
1750496193.0847044,-18.779869090332443,-0.5975722675081884,-2.957922274902793
1750496193.2346857,-18.85010903738262,-0.6106980794869264,-2.9575005260758793
1750496193.3508248,-18.90434307308355,-0.6207816730011386,-2.9576406622415075
1750496193.4841192,-18.96650622397022,-0.632280295454506,-2.958512551035795
1750496193.6174386,-19.028688272995133,-0.6437361714595721,-2.959620660712773
1750496193.7356732,-19.083852724734584,-0.6539316561507139,-2.959707655022184
1750496193.8356438,-19.130627091258273,-0.6626451582186523,-2.9587100709033294
1750496193.95074,-19.184533913705817,-0.6725708179840582,-2.958878519752389
1750496194.0840933,-19.246990846898107,-0.6841158620816051,-2.9587529303830813
1750496194.2356126,-19.31788150351747,-0.6972334800346164,-2.9585898118750906
1750496194.3506773,-19.371643293782185,-0.7071650774140599,-2.958850781001031
1750496194.484015,-19.43387414315127,-0.7186891383713659,-2.958728467552364
1750496194.6173606,-19.49613213324134,-0.7300623559593462,-2.9603717857369602
1750496194.7355547,-19.55134034015934,-0.7403271277132033,-2.9593171635876163
1750496194.8355727,-19.598207697277974,-0.7489316446321199,-2.9597860604242165
1750496194.9507024,-19.652136449193055,-0.7588249918870971,-2.960307348749561
1750496195.0840397,-19.714522298171737,-0.7702634298991913,-2.9606695686009625
1750496195.235526,-19.785317574038775,-0.7832475546825549,-2.960666084407464
1750496195.350711,-19.83901940211727,-0.793068972383235,-2.9609297608431966
1750496195.4839966,-19.90109656667684,-0.8043397507137562,-2.961988159488518
1750496195.6172988,-19.963254009582574,-0.8155111019859607,-2.963913094875317
1750496195.7354455,-20.018344787173447,-0.825592369433938,-2.962694204561233
1750496195.8354435,-20.06516169777723,-0.8339885928487739,-2.9635063583787025
1750496195.9506469,-20.119116329591776,-0.8437198940838296,-2.9636818287451647
1750496196.083962,-20.181571538714813,-0.8549474254944041,-2.963990890665441
1750496196.2354102,-20.25249228550278,-0.8677278437204065,-2.9637256631991575
1750496196.350639,-20.30635067480631,-0.8774641352140171,-2.9632190764551907
1750496196.4839027,-20.368587209039156,-0.8886987137785699,-2.9628442903452004
1750496196.6172671,-20.430883243924214,-0.8998634739153587,-2.963643302379609
1750496196.73536,-20.486080098493417,-0.9097232038451013,-2.9646365528980105
1750496196.8353574,-20.532907295076345,-0.9181458707592484,-2.9646060261059883
1750496196.9505935,-20.586881715063004,-0.927858532140902,-2.964140260733283
1750496197.0838895,-20.649349053855797,-0.9391023278849093,-2.9635070810852797
1750496197.2353728,-20.720249845630562,-0.9516687061906142,-2.9653786711974215
1750496197.3505564,-20.774008989151973,-0.961249460379419,-2.965876244105945
1750496197.4838653,-20.836225750054005,-0.9723452993379877,-2.965818171066338
1750496197.5505588,-20.867396501475934,-0.9778248712701036,-2.966611951032206
1750496197.7352517,-20.953723632493784,-0.9929328899421624,-2.9689449991510783
1750496197.8352623,-21.000543554910035,-1.0011190602067341,-2.969428212961408
1750496197.9505167,-21.054633169976707,-1.0105531202846139,-2.969681570096187
1750496198.0838165,-21.117194506968545,-1.0214265252519463,-2.9699477377554295
1750496198.2352145,-21.188200804837326,-1.0337423351462791,-2.9702539702454245
1750496198.3505104,-21.242041975608906,-1.0428861668591056,-2.9728190122859295
1750496198.483806,-21.302631677916093,-1.0535309182454995,-2.9705476486531213
1750496198.6171305,-21.356678614249873,-1.0639769248566067,-2.9567501896058945
1750496198.7352102,-21.39893692093848,-1.0751505346815622,-2.910770787491742
1750496198.8352132,-21.421688626163103,-1.0798437457974464,-2.9052948124844113
1750496198.9504309,-21.44113312491079,-1.0843996170229502,-2.8978491835435944
1750496199.083766,-21.45580805287292,-1.087851357401152,-2.8938092289614916
1750496199.235178,-21.466773224185424,-1.0904976421969081,-2.891354585963606
1750496199.350428,-21.475785965614143,-1.0927546094323217,-2.890001347304055
1750496199.4837325,-21.488473202356836,-1.0960195586515113,-2.8872545060437527
1750496199.6170757,-21.50518613961336,-1.1003806362941153,-2.883686350154388
1750496199.7350903,-21.52106007659635,-1.1045926098192376,-2.879565033493978
1750496199.8351076,-21.544150712176506,-1.1107672249054716,-2.8765169467042844
1750496199.950426,-21.575190862389636,-1.119234253119039,-2.871444978041653
1750496200.0837843,-21.617691200315335,-1.1311939760896383,-2.86174937769587
1750496200.23509,-21.670028342846326,-1.1483378365522479,-2.812605527873428
1750496200.3503702,-21.708788667612755,-1.161437595610668,-2.793660721054653
1750496200.4836993,-21.74555417272452,-1.1742180024875106,-2.785681065302687
1750496200.6169906,-21.768030579975914,-1.1825992946656607,-2.7759393805651666
1750496200.7351222,-21.780295986841473,-1.1897724196451456,-2.7166964168680936
1750496200.8349752,-21.775576214242864,-1.189261565062296,-2.660930402403327
1750496200.9504158,-21.771574846651937,-1.1878521676186424,-2.5966418377575455
1750496201.0836732,-21.77042186538963,-1.1868860980321114,-2.53586234970603
1750496201.2349584,-21.77710973217821,-1.1906894318112076,-2.528170575264434
1750496201.3503127,-21.79517872469156,-1.2029629993229962,-2.5156255836012757
1750496201.4835937,-21.822094798889747,-1.2220085402561953,-2.515706371453543
1750496201.616931,-21.85531664201109,-1.2459016810192645,-2.5134398121550117
1750496201.7349157,-21.886834388800395,-1.2689997486151638,-2.5062582555792075
1750496201.8349571,-21.920499180354334,-1.2936541646984248,-2.5053408477829495
1750496201.9502997,-21.96034012228048,-1.3226738137423375,-2.509239512958895
1750496202.0835865,-22.008543477296502,-1.3576024188660873,-2.5152305996414865
1750496202.2349336,-22.0673426545442,-1.4000097967563947,-2.5199347051623957
1750496202.3502622,-22.113627796934868,-1.4332447462210354,-2.52158682407991
1750496202.483581,-22.16612910145423,-1.4707534498889976,-2.5230189944471686
1750496202.6169646,-22.216434389346166,-1.506587451053548,-2.52389582164228
1750496202.7348685,-22.261739630762776,-1.538831707685884,-2.524287844914666
1750496202.8168976,-22.291825197884386,-1.5600101400959183,-2.5265056608438172
1750496202.9502418,-22.3436532613182,-1.5966182210006883,-2.5282290232961673
1750496203.0835462,-22.396514375256963,-1.6338230800080538,-2.5296835381074314
1750496203.216864,-22.449264744186223,-1.6710238472271297,-2.529165388563961
1750496203.3502014,-22.50154362551738,-1.7077578926756551,-2.5294475181013114
1750496203.4834857,-22.553147983448692,-1.744066492596953,-2.5289512962666456
1750496203.6168432,-22.604655104368995,-1.7802434552376158,-2.5290533288451664
1750496203.7347505,-22.650637811356287,-1.812611618381129,-2.5284773262560023
1750496203.8347406,-22.689382522346897,-1.8398584906647624,-2.5283126234750672
