Time (s),X (m),Y (m),heading
1750496110.2843566,0.0,0.0,0.0
1750496110.3510807,0.0,0.0,0.0
1750496110.417706,0.0,0.0,0.0
1750496110.4843636,0.0,0.0,0.0
1750496110.5510283,0.0,0.0,0.0
1750496110.617665,0.0,0.0,0.0
1750496110.6843383,0.0,0.0,0.0
1750496110.751037,0.0,0.0,0.0
1750496110.8176627,0.0,0.0,0.0
1750496110.8843465,0.0,0.0,0.0
1750496110.9510531,0.0,0.0,0.0
1750496111.0176916,0.0,0.0,0.0
1750496111.08438,0.0,0.0,0.0
1750496111.1510346,0.0,0.0,0.0
1750496111.217648,0.0,0.0,0.0
1750496111.284365,0.0,0.0,0.0
1750496111.3510575,0.0,0.0,0.0
1750496111.4176962,0.0,0.0,0.0
1750496111.4843931,0.0,0.0,0.0
1750496111.5510283,0.0,0.0,0.0
1750496111.6177118,0.0,0.0,0.0
1750496111.684402,0.0,0.0,0.0
1750496111.7510502,0.0,0.0,0.0
1750496111.8177052,0.0,0.0,0.0
1750496111.884386,0.0,0.0,0.0
1750496111.951047,0.0,0.0,0.0
1750496112.0177112,0.0,0.0,0.0
1750496112.0843747,0.0,0.0,0.0
1750496112.1510615,0.0,0.0,0.0
1750496112.2177227,0.0,0.0,0.0
1750496112.284609,0.0,0.0,0.0
1750496112.3510678,0.0,0.0,0.0
1750496112.4177353,0.0,0.0,0.0
1750496112.4844506,0.0,0.0,0.0
1750496112.55112,0.0,0.0,0.0
1750496112.6177304,0.0,0.0,0.0
1750496112.6844423,0.0,0.0,0.0
1750496112.7510884,0.0,0.0,0.0
1750496112.8177485,0.0,0.0,0.0
1750496112.8843951,0.0,0.0,0.0
1750496112.951094,0.0,0.0,0.0
1750496113.0177908,0.0,0.0,0.0
1750496113.0844386,0.0,0.0,0.0
1750496113.1510704,0.0,0.0,0.0
1750496113.2178013,0.0,0.0,0.0
1750496113.2844257,0.0,0.0,0.0
1750496113.3510952,0.0,0.0,0.0
1750496113.417777,0.0,0.0,0.0
1750496113.4844654,0.0,0.0,0.0
1750496113.551145,0.0,0.0,0.0
1750496113.6178067,0.0,0.0,0.0
1750496113.684438,0.0,0.0,0.0
1750496113.7511227,0.0,0.0,0.0
1750496113.8177736,0.0,0.0,0.0
1750496113.88444,0.0,0.0,0.0
1750496113.9511142,0.0,0.0,0.0
1750496114.0178158,0.0,0.0,0.0
1750496114.0844545,0.0,0.0,0.0
1750496114.1511295,0.0,0.0,0.0
1750496114.2177887,0.0,0.0,0.0
1750496114.284474,0.0,0.0,0.0
1750496114.351136,0.0,0.0,0.0
1750496114.4177938,0.0,0.0,0.0
1750496114.4844646,0.0,0.0,0.0
1750496114.5511942,0.0,0.0,0.0
1750496114.6178012,0.0,0.0,0.0
1750496114.6844945,0.0,0.0,0.0
1750496114.7511504,0.0,0.0,0.0
1750496114.8178418,0.0,0.0,0.0
1750496114.8844948,0.0,0.0,0.0
1750496114.9511485,0.0,0.0,0.0
1750496115.017844,0.0,0.0,0.0
1750496115.0844882,0.0,0.0,0.0
1750496115.1511562,0.0,0.0,0.0
1750496115.2178485,0.0,0.0,0.0
1750496115.2844937,0.0,0.0,0.0
1750496115.3511658,0.0,0.0,0.0
1750496115.4178276,0.0,0.0,0.0
1750496115.484507,0.0,0.0,0.0
1750496115.5511985,0.0,0.0,0.0
1750496115.6178393,0.0,0.0,0.0
1750496115.6845033,0.0,0.0,0.0
1750496115.7511926,0.0,0.0,0.0
1750496115.817885,0.0,0.0,0.0
1750496115.8845155,0.0,0.0,0.0
1750496115.9512312,0.0,0.0,0.0
1750496116.017857,0.0,0.0,0.0
1750496116.0845184,0.0,0.0,0.0
1750496116.1511967,0.0,0.0,0.0
1750496116.2178571,0.0,0.0,0.0
1750496116.2845263,0.0,0.0,0.0
1750496116.3512206,0.0,0.0,0.0
1750496116.4178686,0.0,0.0,0.0
1750496116.484553,0.0,0.0,0.0
1750496116.5512412,0.0,0.0,0.0
1750496116.6178777,0.0,0.0,0.0
1750496116.684557,0.0,0.0,0.0
1750496116.75122,0.0,0.0,0.0
1750496116.8179493,0.0,0.0,0.0
1750496116.884582,0.0,0.0,0.0
1750496116.9512393,0.0,0.0,0.0
1750496117.0179555,0.0,0.0,0.0
1750496117.0845656,0.0,0.0,0.0
1750496117.151238,0.0,0.0,0.0
1750496117.217899,0.0,0.0,0.0
1750496117.2845664,0.0,0.0,0.0
1750496117.3512676,0.0,0.0,0.0
1750496117.4179688,0.0,0.0,0.0
1750496117.484596,0.0,0.0,0.0
1750496117.5512714,0.0,0.0,0.0
1750496117.6178937,0.0,0.0,0.0
1750496117.684631,0.0,0.0,0.0
1750496117.7512531,0.0,0.0,0.0
1750496117.817923,0.0,0.0,0.0
1750496117.884603,0.0,0.0,0.0
1750496117.951256,0.0,0.0,0.0
1750496118.01803,0.0,0.0,0.0
1750496118.0845628,0.0,0.0,0.0
1750496118.1512637,0.0,0.0,0.0
1750496118.2179472,0.0,0.0,0.0
1750496118.2846267,0.0,0.0,0.0
1750496118.3513064,0.0,0.0,0.0
1750496118.4179435,0.0,0.0,0.0
1750496118.4846783,0.0,0.0,0.0
1750496118.551279,0.0,0.0,0.0
1750496118.617936,0.0,0.0,0.0
1750496118.6845932,0.0,0.0,0.0
1750496118.751317,0.0,0.0,0.0
1750496118.8179662,0.0,0.0,0.0
1750496118.884603,0.0,0.0,0.0
1750496118.951295,0.0,0.0,0.0
1750496119.0180619,0.0,0.0,0.0
1750496119.0847135,0.0,0.0,0.0
1750496119.151317,0.0,0.0,0.0
1750496119.2179828,0.0,0.0,0.0
1750496119.2846181,0.0,0.0,0.0
1750496119.3513844,0.0,0.0,0.0
1750496119.417982,0.0,0.0,0.0
1750496119.4846704,0.0,0.0,0.0
1750496119.551331,0.0,0.0,0.0
1750496119.617986,0.0,0.0,0.0
1750496119.6846657,0.0,0.0,0.0
1750496119.7513466,0.0,0.0,0.0
1750496119.8180282,0.0,0.0,0.0
1750496119.8846393,0.0,0.0,0.0
1750496119.951367,0.0,0.0,0.0
1750496120.0180225,0.0,0.0,0.0
1750496120.0846753,0.0,0.0,0.0
1750496120.1513572,0.0,0.0,0.0
1750496120.218047,0.0,0.0,0.0
1750496120.2846735,0.0,0.0,0.0
1750496120.3513384,0.0,0.0,0.0
1750496120.4180102,0.0,0.0,0.0
1750496120.484692,0.0,0.0,0.0
1750496120.551363,0.0,0.0,0.0
1750496120.6180303,0.0,0.0,0.0
1750496120.6846614,0.0,0.0,0.0
1750496120.7513278,0.0,0.0,0.0
1750496120.8180425,9.862135024301111e-05,0.0,-0.0006902631726319442
1750496120.88472,0.0004064184351836725,-2.1246102612129618e-07,-0.0016221841269100424
1750496120.9513915,0.001508697617337953,-2.000562387287418e-06,-0.002535882110074639
1750496121.018055,0.0037993854240950063,-7.809489068031957e-06,-0.003322400128221281
1750496121.0847054,0.008347073398907483,-2.2918783772557414e-05,-0.0044838151150176754
1750496121.1514122,0.015419961034629379,-5.463251679133138e-05,-0.006802542114181341
1750496121.2180693,0.024755504635437096,-0.0001181389248750612,-0.007655540932168436
1750496121.284709,0.03596704700432067,-0.00020397102319538615,-0.00861717827586439
1750496121.3513901,0.04844181739937907,-0.00031147100448424025,-0.009803334797218689
1750496121.418065,0.061750287448929325,-0.00044194257171840316,-0.010940958439483082
1750496121.4847198,0.07555332658118799,-0.0005929670753589297,-0.012205281613881812
1750496121.5514102,0.08939301902835137,-0.0007618928074361675,-0.013579235690227408
1750496121.6180928,0.10252969546874771,-0.0009402897983505848,-0.01510433204235565
1750496121.6847212,0.11449329594818197,-0.0011210057355186946,-0.01679143081393765
