Time (s),X (m),Y (m),heading
1750496120.8180425,8.239028626953983e-05,0.0,0.0
1750496120.9853008,0.001508546872044614,1.8250214999213775e-07,0.00028644726019644295
1750496121.085348,0.0071994569556155736,1.52050145313189e-06,0.0002996850281733465
1750496121.2180693,0.021748616144218927,6.08604444783677e-06,0.00040017208000797666
1750496121.3513901,0.0434891570824251,-4.817635988436104e-05,-0.004558469798945364
1750496121.485324,0.0693739629344242,-0.00016865383437567936,-0.006768960542702374
1750496121.6180928,0.09566040181735436,-0.0003268370165949532,-0.0074783505283750875
1750496121.6847212,0.10769756112203975,-0.0003984231280166365,-0.007310274574581221
1750496121.8180473,0.1257816598212957,-0.0005234246964217953,-0.0074628880674034725
1750496121.9852972,0.13919438206345597,-0.0006153026246447587,-0.007403282110732157
1750496122.0847516,0.1396834194485182,-0.000618339430141743,-0.007418367907005231
1750496122.2180998,0.1410373820379413,-0.0006277463952701557,-0.007438298471751371
1750496122.351478,0.14144279940191684,-0.0006304414267576608,-0.0074468872365951455
1750496122.4847739,0.14148041413843498,-0.0006306005832507406,-0.007442967164573933
1750496122.618076,0.14152576173068246,-0.0006309885317454287,-0.007445277585190979
1750496122.685312,0.14152642280871883,-0.0006310280960224418,-0.007444884978719202
1750496122.8353505,0.14141163179064728,-0.0006302467154696304,-0.007445255352490409
1750496122.9515047,0.14152618704841524,-0.0006311640009323212,-0.007445617079558264
1750496123.085327,0.14149945725184343,-0.0006310175553334072,-0.007445890424547574
1750496123.2353194,0.14166242699520074,-0.0006322847178705377,-0.007445937608215658
1750496123.351467,0.14367907403641797,-0.0006477463503877207,-0.0068403375428856
1750496123.4853165,0.1498348402166406,-0.0006899474396394522,-0.004902070664164259
1750496123.6181374,0.16514057587983613,-0.0007663793558177841,-0.002592037316789586
1750496123.7353017,0.18490554095270254,-0.000831076396628365,-0.0015407103178803894
1750496123.8353062,0.21902156779335774,-0.0009249501939344016,-0.0013397407600108657
1750496123.9852185,0.2775601082762005,-0.0010152487871827383,-0.0008196563424465175
1750496124.084819,0.3256514551141967,-0.0008902354344495796,0.00274688804406642
1750496124.235367,0.39304625510985175,0.000710703918358172,0.025364335074275157
1750496124.3515074,0.433028683811536,0.002062524406261042,0.03877975586282645
1750496124.4848177,0.4647910298300024,0.0041159436321742,0.058353492759588114
1750496124.6181703,0.4807301931393719,0.005338309289788277,0.072072342278076
1750496124.7353246,0.48990263530206757,0.008537964703785823,0.13729046894546038
1750496124.8353362,0.48447837042576397,0.009238550732705705,0.19760102134924784
1750496124.9515474,0.48209152940844235,0.009234302598550693,0.26854425990562186
1750496125.084863,0.4809785848216435,0.008790320364772203,0.3434420662809403
1750496125.2352972,0.48080174879219095,0.008413003491012245,0.4207267584598311
1750496125.3515468,0.4818308399701588,0.008645003048427432,0.44720404668161295
1750496125.484898,0.4824275512355431,0.008859403590247122,0.4658189774422481
1750496125.618217,0.4845171885586874,0.009862453748771758,0.47466705851837343
1750496125.7353466,0.48833217150919317,0.011786406428615052,0.48404158936411784
1750496125.835358,0.5000442118089474,0.01783863017596336,0.48377140035624056
1750496125.951562,0.5177393876620938,0.027201468274611094,0.49122614644196316
1750496126.0848901,0.5463116935863989,0.04249810720694466,0.49520130820906566
1750496126.235343,0.5914401603797159,0.06696189070180546,0.4998838281367819
1750496126.3516114,0.6367897976651987,0.09160219630758004,0.499590699626872
1750496126.4849105,0.6916662660451205,0.12156933532907109,0.5005807511842524
1750496126.6182497,0.7464544934886468,0.15198276114524922,0.5069023507133208
1750496126.735296,0.7909728561563746,0.18013314060083485,0.5470448276966633
1750496126.835339,0.8150712961840114,0.1956182101334709,0.5679753025559792
1750496126.951596,0.83499389910355,0.20770263279574283,0.5747297427315221
1750496127.084885,0.8481048512809956,0.21584374298968437,0.5797040916162022
1750496127.2353573,0.852285826641202,0.2183247653235987,0.5818315828514472
1750496127.3516216,0.8503302853749267,0.2173535697051853,0.5970293454049758
1750496127.4849317,0.8490189899828752,0.21690809180441106,0.6435193167600879
1750496127.618281,0.8480965790732997,0.21632604373225722,0.7268397418538175
1750496127.735332,0.8465695198600993,0.21472505827650498,0.8181965194124539
1750496127.8353543,0.8475785556741561,0.21535961479124338,0.8476888786938047
1750496127.951634,0.8512108182271336,0.21907647814561548,0.8664606321143884
1750496128.0849617,0.8596287337294021,0.2286584646437665,0.8800403014501167
1750496128.2353635,0.8737569986869144,0.24535233928557876,0.8772344593334189
1750496128.3516278,0.8888158646113908,0.2633808527461972,0.8779575818056546
1750496128.484977,0.9086773774989412,0.28737983698855346,0.8810437287084029
1750496128.618373,0.9322110351024883,0.3158812678473225,0.882092142360147
1750496128.7353268,0.9545285294484385,0.3430603104957139,0.8842608639138652
1750496128.8352962,0.9787497231802613,0.37248439064556416,0.8834461576705159
1750496128.9516642,1.01077939559053,0.41149947348984656,0.8829940143936055
1750496129.0850356,1.0503399075537652,0.460303727473784,0.8888814604641552
1750496129.2353947,1.0921935581512179,0.5143234223595936,0.9121419293075999
1750496129.3516915,1.1157301693075994,0.5473622893651908,0.9430416581481484
1750496129.4849484,1.1352986500297508,0.5732277112515206,0.9517736234384868
1750496129.6183832,1.144306545806708,0.586964528536701,0.9734596081617184
1750496129.735383,1.1470482368820025,0.5960428141512387,1.0493269306830726
1750496129.835388,1.1436461882425346,0.5926202449448551,1.1088158833887416
1750496129.9516928,1.1422874276669366,0.5907126353776859,1.1798780153017852
1750496130.0850797,1.1420107131776454,0.5895331475393177,1.2572579622275075
1750496130.2354264,1.1423318874653992,0.5893153880721199,1.325198460622113
1750496130.3517435,1.1428191464306279,0.5904567568569249,1.3444381709660984
1750496130.4850636,1.1430181742175467,0.5911156438027322,1.357192493893481
1750496130.6184065,1.143099457749375,0.5914943510593952,1.3625166056702422
